0.95 0.77075 4.0931 0 39097 0.61211 14.995 1013.2
0.96 0.81241 4.2394 0 39094 0.60948 14.995 1013.2
0.97 0.85555 4.3883 0 39091 0.60691 14.994 1013.1
0.98 0.90019 4.5397 0 39087 0.60438 14.994 1013.1
0.99 0.94636 4.6938 0 39084 0.6019 14.994 1013.1
1 0.99408 4.8504 0 39081 0.59947 14.994 1013.1
1.01 1.0434 5.0083 0 39076 0.59718 14.993 1013.1
1.025 1.1203 5.2453 -0.0099135 39067 0.59388 14.993 1013.1
1.0475 1.2423 5.6008 -0.023898 39055 0.58921 14.992 1013.1
1.0813 1.4403 6.1345 -0.040962 39036 0.58316 14.991 1013.1
1.1313 1.7668 6.926 -0.059096 39008 0.57484 14.989 1013
1.1813 2.1329 7.7184 -0.074513 38975 0.56718 14.986 1013
1.2313 2.5387 8.5118 -0.088798 38942 0.56035 14.983 1013
1.2813 2.9841 9.3061 -0.10184 38908 0.55414 14.981 1012.9
1.3313 3.4693 10.101 -0.11444 38875 0.54865 14.977 1012.8
1.3813 3.9943 10.898 -0.12342 38842 0.54373 14.974 1012.8
1.4313 4.5591 11.695 -0.12856 38808 0.53922 14.97 1012.7
1.4813 5.1638 12.493 -0.12905 38775 0.53527 14.966 1012.6
1.5313 5.8084 13.292 -0.12457 38742 0.53529 14.962 1012.6
1.5813 6.493 14.092 -0.11782 38708 0.53532 14.958 1012.5
1.6313 7.2176 14.893 -0.10909 38675 0.53534 14.953 1012.4
1.6813 7.9823 15.695 -0.097509 38642 0.53536 14.948 1012.3
1.7313 8.7871 16.497 -0.080013 38608 0.53539 14.943 1012.2
1.7813 9.632 17.301 -0.058244 38575 0.53541 14.937 1012.1
1.8313 10.517 18.105 -0.033244 38542 0.53544 14.932 1012
1.8813 11.443 18.911 -0.0048405 38508 0.53547 14.926 1011.9
1.9313 12.408 19.717 0.026656 38475 0.53551 14.919 1011.8
1.9813 13.414 20.524 0.061232 38442 0.53554 14.913 1011.7
2.0313 14.461 21.332 0.098932 38408 0.53557 14.906 1011.6
2.0813 15.548 22.141 0.13964 38375 0.53561 14.899 1011.4
2.1313 16.675 22.95 0.18289 38342 0.53565 14.892 1011.3
2.1813 17.843 23.761 0.22894 38308 0.53569 14.884 1011.2
2.2313 19.051 24.572 0.27764 38275 0.53573 14.876 1011
2.2813 20.3 25.384 0.32949 38242 0.53577 14.868 1010.9
2.3313 21.589 26.197 0.3836 38208 0.53581 14.86 1010.7
2.3812 22.919 27.011 0.43951 38175 0.53585 14.851 1010.6
2.4312 24.29 27.825 0.49671 38142 0.5359 14.842 1010.4
2.4812 25.702 28.64 0.55595 38108 0.53595 14.833 1010.2
2.5312 27.154 29.456 0.61885 38075 0.53599 14.823 1010.1
2.5812 28.648 30.273 0.68449 38042 0.53604 14.814 1009.9
2.6312 30.182 31.09 0.75489 38008 0.53609 14.804 1009.7
2.6812 31.757 31.908 0.826 37975 0.53614 14.794 1009.5
2.7312 33.372 32.727 0.89319 37942 0.5362 14.783 1009.3
2.7812 35.029 33.546 0.95922 37908 0.53625 14.772 1009.1
2.8312 36.727 34.366 1.0225 37875 0.53642 14.761 1008.9
2.8812 38.466 35.187 1.0843 37842 0.53671 14.75 1008.7
2.9312 40.246 36.009 1.1484 37808 0.53701 14.738 1008.5
2.9812 42.067 36.831 1.2124 37775 0.53731 14.727 1008.3
3.0312 43.929 37.654 1.2764 37742 0.53761 14.714 1008.1
3.0812 45.832 38.477 1.3462 37708 0.53791 14.702 1007.9
3.1312 47.777 39.301 1.4155 37675 0.53822 14.689 1007.6
